lat,long,altitude,distance,activity_id,activity_name,activity_type
-33.588634,-70.593372,668.4,19.88K,5545414894,A la casa de la Karin,Ride
-33.588634,-70.593372,668.4,19.88K,5545414894,A la casa de la Karin,Ride
-33.563816,-70.584604,656.1,19.88K,5545414894,A la casa de la Karin,Ride
-33.563826,-70.584617,656.1,19.88K,5545414894,A la casa de la Karin,Ride
-33.563828,-70.58463,656.1,19.88K,5545414894,A la casa de la Karin,Ride
-33.563829,-70.584642,656.1,19.88K,5545414894,A la casa de la Karin,Ride
-33.563831,-70.584655,656.0,19.88K,5545414894,A la casa de la Karin,Ride
-33.563832,-70.584667,656.0,19.88K,5545414894,A la casa de la Karin,Ride
-33.563834,-70.58468,656.0,19.88K,5545414894,A la casa de la Karin,Ride
-33.563835,-70.584692,656.0,19.88K,5545414894,A la casa de la Karin,Ride
-33.563836,-70.584705,656.0,19.88K,5545414894,A la casa de la Karin,Ride
-33.563838,-70.584717,656.0,19.88K,5545414894,A la casa de la Karin,Ride
-33.563839,-70.58473,656.0,19.88K,5545414894,A la casa de la Karin,Ride
-33.563841,-70.584742,655.9,19.88K,5545414894,A la casa de la Karin,Ride
-33.563842,-70.584755,655.9,19.88K,5545414894,A la casa de la Karin,Ride
-33.563813,-70.584765,655.9,19.88K,5545414894,A la casa de la Karin,Ride
-33.563779,-70.584779,655.9,19.88K,5545414894,A la casa de la Karin,Ride
-33.563741,-70.584792,655.8,19.88K,5545414894,A la casa de la Karin,Ride
-33.563701,-70.584804,655.8,19.88K,5545414894,A la casa de la Karin,Ride
-33.563661,-70.584819,655.7,19.88K,5545414894,A la casa de la Karin,Ride
-33.563613,-70.58483,655.7,19.88K,5545414894,A la casa de la Karin,Ride
-33.563564,-70.584839,655.6,19.88K,5545414894,A la casa de la Karin,Ride
-33.563517,-70.584845,655.6,19.88K,5545414894,A la casa de la Karin,Ride
-33.563465,-70.584852,655.5,19.88K,5545414894,A la casa de la Karin,Ride
-33.563413,-70.584859,655.5,19.88K,5545414894,A la casa de la Karin,Ride
-33.563357,-70.584864,655.4,19.88K,5545414894,A la casa de la Karin,Ride
-33.563297,-70.584874,655.3,19.88K,5545414894,A la casa de la Karin,Ride
-33.56324,-70.584885,655.3,19.88K,5545414894,A la casa de la Karin,Ride
-33.56318,-70.584894,655.2,19.88K,5545414894,A la casa de la Karin,Ride
-33.563259,-70.584877,655.1,19.88K,5545414894,A la casa de la Karin,Ride
-33.563167,-70.584898,655.0,19.88K,5545414894,A la casa de la Karin,Ride
-33.563088,-70.584913,655.0,19.88K,5545414894,A la casa de la Karin,Ride
-33.563021,-70.584918,654.9,19.88K,5545414894,A la casa de la Karin,Ride
-33.562964,-70.584925,654.9,19.88K,5545414894,A la casa de la Karin,Ride
-33.562813,-70.584934,654.7,19.88K,5545414894,A la casa de la Karin,Ride
-33.562751,-70.584947,654.6,19.88K,5545414894,A la casa de la Karin,Ride
-33.562689,-70.584958,654.6,19.88K,5545414894,A la casa de la Karin,Ride
-33.562622,-70.584969,654.5,19.88K,5545414894,A la casa de la Karin,Ride
-33.562561,-70.584981,654.5,19.88K,5545414894,A la casa de la Karin,Ride
-33.562499,-70.584985,654.4,19.88K,5545414894,A la casa de la Karin,Ride
-33.562438,-70.584995,654.4,19.88K,5545414894,A la casa de la Karin,Ride
-33.562376,-70.585004,654.3,19.88K,5545414894,A la casa de la Karin,Ride
-33.562317,-70.585022,654.3,19.88K,5545414894,A la casa de la Karin,Ride
-33.562255,-70.585033,654.2,19.88K,5545414894,A la casa de la Karin,Ride
-33.562184,-70.58504,654.1,19.88K,5545414894,A la casa de la Karin,Ride
-33.562116,-70.585046,654.1,19.88K,5545414894,A la casa de la Karin,Ride
-33.562071,-70.585058,654.0,19.88K,5545414894,A la casa de la Karin,Ride
-33.562005,-70.585074,653.9,19.88K,5545414894,A la casa de la Karin,Ride
-33.56194,-70.585089,653.9,19.88K,5545414894,A la casa de la Karin,Ride
-33.561873,-70.585087,653.8,19.88K,5545414894,A la casa de la Karin,Ride
-33.561811,-70.585111,653.7,19.88K,5545414894,A la casa de la Karin,Ride
-33.561749,-70.585122,653.7,19.88K,5545414894,A la casa de la Karin,Ride
-33.56169,-70.585128,653.6,19.88K,5545414894,A la casa de la Karin,Ride
-33.56163,-70.585145,653.6,19.88K,5545414894,A la casa de la Karin,Ride
-33.561552,-70.585146,653.5,19.88K,5545414894,A la casa de la Karin,Ride
-33.561484,-70.58516,653.5,19.88K,5545414894,A la casa de la Karin,Ride
-33.56143,-70.58517,653.4,19.88K,5545414894,A la casa de la Karin,Ride
-33.561384,-70.585166,653.4,19.88K,5545414894,A la casa de la Karin,Ride
-33.561333,-70.58515,653.4,19.88K,5545414894,A la casa de la Karin,Ride
-33.561279,-70.585137,653.3,19.88K,5545414894,A la casa de la Karin,Ride
-33.56122,-70.585128,653.3,19.88K,5545414894,A la casa de la Karin,Ride
-33.561162,-70.585129,653.3,19.88K,5545414894,A la casa de la Karin,Ride
-33.561109,-70.585161,653.3,19.88K,5545414894,A la casa de la Karin,Ride
-33.561102,-70.585213,653.2,19.88K,5545414894,A la casa de la Karin,Ride
-33.561073,-70.585243,653.2,19.88K,5545414894,A la casa de la Karin,Ride
