lat,long,altitude,distance,activity_id,activity_name,activity_type
-27.148636,-109.425642,28.2,1.37K,8940571107,Caminata Hanga Roa,Walk
-27.148636,-109.425642,28.2,1.37K,8940571107,Caminata Hanga Roa,Walk
-27.148636,-109.425642,28.2,1.37K,8940571107,Caminata Hanga Roa,Walk
-27.148625,-109.425656,28.1,1.37K,8940571107,Caminata Hanga Roa,Walk
-27.148661,-109.425582,28.6,1.37K,8940571107,Caminata Hanga Roa,Walk
-27.148736,-109.425475,29.2,1.37K,8940571107,Caminata Hanga Roa,Walk
-27.14877,-109.425372,29.9,1.37K,8940571107,Caminata Hanga Roa,Walk
-27.148848,-109.425248,31.1,1.37K,8940571107,Caminata Hanga Roa,Walk
-27.148902,-109.425113,32.2,1.37K,8940571107,Caminata Hanga Roa,Walk
-27.148904,-109.425101,32.3,1.37K,8940571107,Caminata Hanga Roa,Walk
-27.14894,-109.424989,33.3,1.37K,8940571107,Caminata Hanga Roa,Walk
-27.148993,-109.42483,34.7,1.37K,8940571107,Caminata Hanga Roa,Walk
-27.149072,-109.424753,35.6,1.37K,8940571107,Caminata Hanga Roa,Walk
-27.149104,-109.424741,36.0,1.37K,8940571107,Caminata Hanga Roa,Walk
-27.149219,-109.424695,35.9,1.37K,8940571107,Caminata Hanga Roa,Walk
-27.149366,-109.424614,36.3,1.37K,8940571107,Caminata Hanga Roa,Walk
-27.149428,-109.424529,36.6,1.37K,8940571107,Caminata Hanga Roa,Walk
-27.149519,-109.424413,36.9,1.37K,8940571107,Caminata Hanga Roa,Walk
-27.149565,-109.424341,37.1,1.37K,8940571107,Caminata Hanga Roa,Walk
-27.149627,-109.424269,37.6,1.37K,8940571107,Caminata Hanga Roa,Walk
-27.149699,-109.424175,38.2,1.37K,8940571107,Caminata Hanga Roa,Walk
-27.149782,-109.424068,38.8,1.37K,8940571107,Caminata Hanga Roa,Walk
-27.14983,-109.424001,38.9,1.37K,8940571107,Caminata Hanga Roa,Walk
-27.149944,-109.423879,39.0,1.37K,8940571107,Caminata Hanga Roa,Walk
-27.150004,-109.423787,39.1,1.37K,8940571107,Caminata Hanga Roa,Walk
-27.150051,-109.42371,39.2,1.37K,8940571107,Caminata Hanga Roa,Walk
-27.150057,-109.423702,39.3,1.37K,8940571107,Caminata Hanga Roa,Walk
-27.150085,-109.423651,39.4,1.37K,8940571107,Caminata Hanga Roa,Walk
-27.150131,-109.423565,39.6,1.37K,8940571107,Caminata Hanga Roa,Walk
-27.150145,-109.423536,39.7,1.37K,8940571107,Caminata Hanga Roa,Walk
-27.150188,-109.423455,40.0,1.37K,8940571107,Caminata Hanga Roa,Walk
-27.150211,-109.42339,40.2,1.37K,8940571107,Caminata Hanga Roa,Walk
-27.150219,-109.423358,40.3,1.37K,8940571107,Caminata Hanga Roa,Walk
-27.150241,-109.423275,40.5,1.37K,8940571107,Caminata Hanga Roa,Walk
-27.150291,-109.423167,40.8,1.37K,8940571107,Caminata Hanga Roa,Walk
-27.150342,-109.423032,41.1,1.37K,8940571107,Caminata Hanga Roa,Walk
-27.150361,-109.422968,41.2,1.37K,8940571107,Caminata Hanga Roa,Walk
-27.150382,-109.422888,41.4,1.37K,8940571107,Caminata Hanga Roa,Walk
-27.150427,-109.422768,41.6,1.37K,8940571107,Caminata Hanga Roa,Walk
-27.150458,-109.422669,41.9,1.37K,8940571107,Caminata Hanga Roa,Walk
-27.150515,-109.422563,41.7,1.37K,8940571107,Caminata Hanga Roa,Walk
-27.150554,-109.422465,41.6,1.37K,8940571107,Caminata Hanga Roa,Walk
-27.150577,-109.422409,41.5,1.37K,8940571107,Caminata Hanga Roa,Walk
