lat,long,altitude,distance,activity_id,activity_name,activity_type
-27.189607,-109.442742,249.0,2.13K,8939048369,Caminata Volcán Rapa Nui,Walk
-27.189607,-109.442742,249.0,2.13K,8939048369,Caminata Volcán Rapa Nui,Walk
-27.189575,-109.442727,249.8,2.13K,8939048369,Caminata Volcán Rapa Nui,Walk
-27.189563,-109.442733,250.1,2.13K,8939048369,Caminata Volcán Rapa Nui,Walk
-27.18955,-109.442741,250.5,2.13K,8939048369,Caminata Volcán Rapa Nui,Walk
-27.189519,-109.442753,251.3,2.13K,8939048369,Caminata Volcán Rapa Nui,Walk
-27.189504,-109.442749,251.6,2.13K,8939048369,Caminata Volcán Rapa Nui,Walk
-27.189452,-109.442732,252.9,2.13K,8939048369,Caminata Volcán Rapa Nui,Walk
-27.189447,-109.44273,253.0,2.13K,8939048369,Caminata Volcán Rapa Nui,Walk
-27.189416,-109.442726,253.8,2.13K,8939048369,Caminata Volcán Rapa Nui,Walk
-27.189405,-109.442724,254.0,2.13K,8939048369,Caminata Volcán Rapa Nui,Walk
-27.189392,-109.442721,254.4,2.13K,8939048369,Caminata Volcán Rapa Nui,Walk
-27.189386,-109.442718,254.5,2.13K,8939048369,Caminata Volcán Rapa Nui,Walk
-27.189348,-109.442698,255.5,2.13K,8939048369,Caminata Volcán Rapa Nui,Walk
-27.189321,-109.442718,256.3,2.13K,8939048369,Caminata Volcán Rapa Nui,Walk
-27.189302,-109.442726,256.7,2.13K,8939048369,Caminata Volcán Rapa Nui,Walk
-27.189295,-109.442726,256.9,2.13K,8939048369,Caminata Volcán Rapa Nui,Walk
-27.189275,-109.442729,257.4,2.13K,8939048369,Caminata Volcán Rapa Nui,Walk
-27.189235,-109.442732,258.3,2.13K,8939048369,Caminata Volcán Rapa Nui,Walk
-27.189189,-109.442729,259.4,2.13K,8939048369,Caminata Volcán Rapa Nui,Walk
-27.189144,-109.442733,260.5,2.13K,8939048369,Caminata Volcán Rapa Nui,Walk
-27.189113,-109.442738,261.2,2.13K,8939048369,Caminata Volcán Rapa Nui,Walk
-27.18911,-109.442743,261.4,2.13K,8939048369,Caminata Volcán Rapa Nui,Walk
-27.189088,-109.442774,262.2,2.13K,8939048369,Caminata Volcán Rapa Nui,Walk
-27.189052,-109.44285,264.0,2.13K,8939048369,Caminata Volcán Rapa Nui,Walk
-27.188985,-109.442862,265.6,2.13K,8939048369,Caminata Volcán Rapa Nui,Walk
-27.188887,-109.442847,267.9,2.13K,8939048369,Caminata Volcán Rapa Nui,Walk
-27.188845,-109.442832,269.0,2.13K,8939048369,Caminata Volcán Rapa Nui,Walk
-27.188781,-109.442805,270.6,2.13K,8939048369,Caminata Volcán Rapa Nui,Walk
-27.188708,-109.442757,272.6,2.13K,8939048369,Caminata Volcán Rapa Nui,Walk
-27.188707,-109.442749,272.8,2.13K,8939048369,Caminata Volcán Rapa Nui,Walk
-27.188707,-109.442752,272.8,2.13K,8939048369,Caminata Volcán Rapa Nui,Walk
-27.188708,-109.442737,273.1,2.13K,8939048369,Caminata Volcán Rapa Nui,Walk
-27.188708,-109.442737,273.1,2.13K,8939048369,Caminata Volcán Rapa Nui,Walk
-27.188708,-109.442737,273.1,2.13K,8939048369,Caminata Volcán Rapa Nui,Walk
-27.188708,-109.442736,273.2,2.13K,8939048369,Caminata Volcán Rapa Nui,Walk
-27.188691,-109.442738,273.6,2.13K,8939048369,Caminata Volcán Rapa Nui,Walk
-27.188564,-109.442729,276.6,2.13K,8939048369,Caminata Volcán Rapa Nui,Walk
-27.188503,-109.44275,278.1,2.13K,8939048369,Caminata Volcán Rapa Nui,Walk
-27.188495,-109.442752,278.3,2.13K,8939048369,Caminata Volcán Rapa Nui,Walk
-27.188488,-109.44282,279.7,2.13K,8939048369,Caminata Volcán Rapa Nui,Walk
-27.188487,-109.442822,279.8,2.13K,8939048369,Caminata Volcán Rapa Nui,Walk
-27.188486,-109.442826,279.9,2.13K,8939048369,Caminata Volcán Rapa Nui,Walk
-27.188484,-109.442831,280.0,2.13K,8939048369,Caminata Volcán Rapa Nui,Walk
-27.188484,-109.442832,280.0,2.13K,8939048369,Caminata Volcán Rapa Nui,Walk
-27.188484,-109.442833,280.0,2.13K,8939048369,Caminata Volcán Rapa Nui,Walk
-27.188483,-109.442833,280.0,2.13K,8939048369,Caminata Volcán Rapa Nui,Walk
-27.188482,-109.442833,280.1,2.13K,8939048369,Caminata Volcán Rapa Nui,Walk
-27.188482,-109.442833,280.1,2.13K,8939048369,Caminata Volcán Rapa Nui,Walk
-27.188481,-109.442834,280.1,2.13K,8939048369,Caminata Volcán Rapa Nui,Walk
-27.18848,-109.442835,280.1,2.13K,8939048369,Caminata Volcán Rapa Nui,Walk
-27.188446,-109.442847,281.0,2.13K,8939048369,Caminata Volcán Rapa Nui,Walk
-27.188433,-109.442851,281.3,2.13K,8939048369,Caminata Volcán Rapa Nui,Walk
-27.188364,-109.442904,283.3,2.13K,8939048369,Caminata Volcán Rapa Nui,Walk
-27.188304,-109.442979,285.4,2.13K,8939048369,Caminata Volcán Rapa Nui,Walk
-27.188257,-109.443073,287.7,2.13K,8939048369,Caminata Volcán Rapa Nui,Walk
-27.188253,-109.44308,287.6,2.13K,8939048369,Caminata Volcán Rapa Nui,Walk
-27.188197,-109.443119,288.6,2.13K,8939048369,Caminata Volcán Rapa Nui,Walk
-27.188186,-109.443118,288.6,2.13K,8939048369,Caminata Volcán Rapa Nui,Walk
-27.18811,-109.443079,286.9,2.13K,8939048369,Caminata Volcán Rapa Nui,Walk
-27.188106,-109.443075,286.9,2.13K,8939048369,Caminata Volcán Rapa Nui,Walk
-27.188097,-109.443068,286.9,2.13K,8939048369,Caminata Volcán Rapa Nui,Walk
-27.188074,-109.443051,285.3,2.13K,8939048369,Caminata Volcán Rapa Nui,Walk
-27.18804,-109.443035,285.3,2.13K,8939048369,Caminata Volcán Rapa Nui,Walk
-27.187975,-109.443032,284.3,2.13K,8939048369,Caminata Volcán Rapa Nui,Walk
-27.187946,-109.443021,283.6,2.13K,8939048369,Caminata Volcán Rapa Nui,Walk
-27.18791,-109.443016,282.9,2.13K,8939048369,Caminata Volcán Rapa Nui,Walk
-27.187881,-109.443023,282.2,2.13K,8939048369,Caminata Volcán Rapa Nui,Walk
-27.187848,-109.44302,282.2,2.13K,8939048369,Caminata Volcán Rapa Nui,Walk
-27.187793,-109.44301,280.1,2.13K,8939048369,Caminata Volcán Rapa Nui,Walk
-27.187756,-109.443011,279.7,2.13K,8939048369,Caminata Volcán Rapa Nui,Walk
-27.187722,-109.443011,279.4,2.13K,8939048369,Caminata Volcán Rapa Nui,Walk
-27.187708,-109.443009,279.4,2.13K,8939048369,Caminata Volcán Rapa Nui,Walk
-27.187666,-109.443018,279.8,2.13K,8939048369,Caminata Volcán Rapa Nui,Walk
-27.187556,-109.443038,278.5,2.13K,8939048369,Caminata Volcán Rapa Nui,Walk
-27.187471,-109.443056,277.8,2.13K,8939048369,Caminata Volcán Rapa Nui,Walk
-27.187427,-109.443068,277.3,2.13K,8939048369,Caminata Volcán Rapa Nui,Walk
-27.18739,-109.443088,276.8,2.13K,8939048369,Caminata Volcán Rapa Nui,Walk
-27.187301,-109.443119,275.9,2.13K,8939048369,Caminata Volcán Rapa Nui,Walk
-27.187283,-109.443127,275.9,2.13K,8939048369,Caminata Volcán Rapa Nui,Walk
-27.187242,-109.443131,275.5,2.13K,8939048369,Caminata Volcán Rapa Nui,Walk
-27.187218,-109.443131,275.4,2.13K,8939048369,Caminata Volcán Rapa Nui,Walk
-27.187149,-109.443129,276.3,2.13K,8939048369,Caminata Volcán Rapa Nui,Walk
-27.187025,-109.443111,277.9,2.13K,8939048369,Caminata Volcán Rapa Nui,Walk
-27.186892,-109.443078,278.8,2.13K,8939048369,Caminata Volcán Rapa Nui,Walk
-27.186816,-109.443051,279.0,2.13K,8939048369,Caminata Volcán Rapa Nui,Walk
-27.186738,-109.443067,282.1,2.13K,8939048369,Caminata Volcán Rapa Nui,Walk
-27.186727,-109.443085,282.0,2.13K,8939048369,Caminata Volcán Rapa Nui,Walk
-27.186729,-109.443136,283.3,2.13K,8939048369,Caminata Volcán Rapa Nui,Walk
-27.186727,-109.443153,284.3,2.13K,8939048369,Caminata Volcán Rapa Nui,Walk
-27.186722,-109.443189,284.7,2.13K,8939048369,Caminata Volcán Rapa Nui,Walk
-27.186719,-109.443201,284.7,2.13K,8939048369,Caminata Volcán Rapa Nui,Walk
-27.186686,-109.443258,285.5,2.13K,8939048369,Caminata Volcán Rapa Nui,Walk
-27.186687,-109.443273,285.8,2.13K,8939048369,Caminata Volcán Rapa Nui,Walk
-27.186688,-109.443277,285.8,2.13K,8939048369,Caminata Volcán Rapa Nui,Walk
-27.18669,-109.44328,285.8,2.13K,8939048369,Caminata Volcán Rapa Nui,Walk
-27.186693,-109.443285,285.7,2.13K,8939048369,Caminata Volcán Rapa Nui,Walk
-27.186695,-109.443279,285.7,2.13K,8939048369,Caminata Volcán Rapa Nui,Walk
-27.186701,-109.443244,285.4,2.13K,8939048369,Caminata Volcán Rapa Nui,Walk
