lat,long,altitude,distance,activity_id,activity_name,activity_type
-33.733429,-70.317593,1094.0,2.81K,10508011430,Cascada Cajón Maipo,Walk
-33.733458,-70.317563,1093.9,2.81K,10508011430,Cascada Cajón Maipo,Walk
-33.733452,-70.317555,1093.8,2.81K,10508011430,Cascada Cajón Maipo,Walk
-33.733503,-70.317569,1093.7,2.81K,10508011430,Cascada Cajón Maipo,Walk
-33.733561,-70.31753,1093.5,2.81K,10508011430,Cascada Cajón Maipo,Walk
-33.733619,-70.317489,1093.4,2.81K,10508011430,Cascada Cajón Maipo,Walk
-33.733652,-70.317478,1093.3,2.81K,10508011430,Cascada Cajón Maipo,Walk
-33.73367,-70.317465,1093.2,2.81K,10508011430,Cascada Cajón Maipo,Walk
-33.733682,-70.317462,1093.2,2.81K,10508011430,Cascada Cajón Maipo,Walk
-33.733735,-70.317475,1093.1,2.81K,10508011430,Cascada Cajón Maipo,Walk
-33.733787,-70.317487,1093.0,2.81K,10508011430,Cascada Cajón Maipo,Walk
-33.733788,-70.317487,1093.0,2.81K,10508011430,Cascada Cajón Maipo,Walk
-33.733832,-70.317474,1092.8,2.81K,10508011430,Cascada Cajón Maipo,Walk
-33.733841,-70.317452,1092.8,2.81K,10508011430,Cascada Cajón Maipo,Walk
-33.733844,-70.317439,1092.8,2.81K,10508011430,Cascada Cajón Maipo,Walk
-33.733847,-70.317424,1092.7,2.81K,10508011430,Cascada Cajón Maipo,Walk
-33.733849,-70.317404,1092.7,2.81K,10508011430,Cascada Cajón Maipo,Walk
-33.733864,-70.317367,1092.6,2.81K,10508011430,Cascada Cajón Maipo,Walk
-33.73388,-70.317344,1092.5,2.81K,10508011430,Cascada Cajón Maipo,Walk
-33.733922,-70.317233,1092.1,2.81K,10508011430,Cascada Cajón Maipo,Walk
-33.73396,-70.317154,1091.8,2.81K,10508011430,Cascada Cajón Maipo,Walk
-33.733977,-70.317137,1091.8,2.81K,10508011430,Cascada Cajón Maipo,Walk
-33.73405,-70.316993,1091.3,2.81K,10508011430,Cascada Cajón Maipo,Walk
-33.734029,-70.316914,1091.1,2.81K,10508011430,Cascada Cajón Maipo,Walk
-33.734028,-70.316896,1091.1,2.81K,10508011430,Cascada Cajón Maipo,Walk
-33.734042,-70.316872,1091.0,2.81K,10508011430,Cascada Cajón Maipo,Walk
-33.734072,-70.316825,1090.8,2.81K,10508011430,Cascada Cajón Maipo,Walk
-33.734089,-70.316785,1090.6,2.81K,10508011430,Cascada Cajón Maipo,Walk
-33.734087,-70.316727,1090.4,2.81K,10508011430,Cascada Cajón Maipo,Walk
-33.734082,-70.316713,1090.3,2.81K,10508011430,Cascada Cajón Maipo,Walk
-33.734046,-70.316658,1090.0,2.81K,10508011430,Cascada Cajón Maipo,Walk
-33.734046,-70.316649,1089.9,2.81K,10508011430,Cascada Cajón Maipo,Walk
-33.734076,-70.316536,1089.2,2.81K,10508011430,Cascada Cajón Maipo,Walk
-33.734103,-70.31647,1088.8,2.81K,10508011430,Cascada Cajón Maipo,Walk
-33.734103,-70.316459,1088.7,2.81K,10508011430,Cascada Cajón Maipo,Walk
-33.734111,-70.316446,1088.6,2.81K,10508011430,Cascada Cajón Maipo,Walk
-33.734112,-70.316399,1088.3,2.81K,10508011430,Cascada Cajón Maipo,Walk
-33.73411,-70.316341,1087.9,2.81K,10508011430,Cascada Cajón Maipo,Walk
-33.734128,-70.316325,1087.7,2.81K,10508011430,Cascada Cajón Maipo,Walk
-33.734157,-70.316255,1087.1,2.81K,10508011430,Cascada Cajón Maipo,Walk
-33.734153,-70.316202,1086.7,2.81K,10508011430,Cascada Cajón Maipo,Walk
-33.734149,-70.316192,1086.6,2.81K,10508011430,Cascada Cajón Maipo,Walk
-33.734151,-70.316157,1086.3,2.81K,10508011430,Cascada Cajón Maipo,Walk
-33.734172,-70.31611,1085.8,2.81K,10508011430,Cascada Cajón Maipo,Walk
-33.734172,-70.316094,1085.7,2.81K,10508011430,Cascada Cajón Maipo,Walk
-33.734173,-70.316081,1085.5,2.81K,10508011430,Cascada Cajón Maipo,Walk
