lat,long,altitude,distance,activity_id,activity_name,activity_type
-33.437484,-70.635318,587.4,19.96K,9114488226,Cerro San Cristobal,Ride
-33.437482,-70.635304,587.3,19.96K,9114488226,Cerro San Cristobal,Ride
-33.437497,-70.635343,587.0,19.96K,9114488226,Cerro San Cristobal,Ride
-33.437511,-70.63534,586.9,19.96K,9114488226,Cerro San Cristobal,Ride
-33.437508,-70.635295,586.5,19.96K,9114488226,Cerro San Cristobal,Ride
-33.43748,-70.635206,585.9,19.96K,9114488226,Cerro San Cristobal,Ride
-33.437458,-70.635203,585.7,19.96K,9114488226,Cerro San Cristobal,Ride
-33.437456,-70.63524,585.4,19.96K,9114488226,Cerro San Cristobal,Ride
-33.43745,-70.635309,584.2,19.96K,9114488226,Cerro San Cristobal,Ride
-33.437422,-70.635343,584.3,19.96K,9114488226,Cerro San Cristobal,Ride
-33.437397,-70.635349,584.3,19.96K,9114488226,Cerro San Cristobal,Ride
-33.437294,-70.635323,584.4,19.96K,9114488226,Cerro San Cristobal,Ride
-33.437264,-70.635308,584.4,19.96K,9114488226,Cerro San Cristobal,Ride
-33.437258,-70.635308,584.4,19.96K,9114488226,Cerro San Cristobal,Ride
-33.437255,-70.635178,584.5,19.96K,9114488226,Cerro San Cristobal,Ride
-33.437193,-70.635234,584.5,19.96K,9114488226,Cerro San Cristobal,Ride
-33.43717,-70.635262,584.5,19.96K,9114488226,Cerro San Cristobal,Ride
-33.437023,-70.63535,584.4,19.96K,9114488226,Cerro San Cristobal,Ride
-33.436884,-70.635427,584.3,19.96K,9114488226,Cerro San Cristobal,Ride
-33.436894,-70.635551,584.3,19.96K,9114488226,Cerro San Cristobal,Ride
-33.436877,-70.635605,584.3,19.96K,9114488226,Cerro San Cristobal,Ride
-33.43687,-70.635612,584.3,19.96K,9114488226,Cerro San Cristobal,Ride
-33.436856,-70.635609,584.3,19.96K,9114488226,Cerro San Cristobal,Ride
-33.436777,-70.635614,584.4,19.96K,9114488226,Cerro San Cristobal,Ride
-33.43658,-70.635561,584.7,19.96K,9114488226,Cerro San Cristobal,Ride
-33.436422,-70.635561,584.8,19.96K,9114488226,Cerro San Cristobal,Ride
-33.436233,-70.635526,585.0,19.96K,9114488226,Cerro San Cristobal,Ride
-33.436212,-70.635507,585.0,19.96K,9114488226,Cerro San Cristobal,Ride
-33.4361,-70.63545,585.1,19.96K,9114488226,Cerro San Cristobal,Ride
-33.435958,-70.635438,585.2,19.96K,9114488226,Cerro San Cristobal,Ride
-33.435769,-70.635458,585.1,19.96K,9114488226,Cerro San Cristobal,Ride
-33.435623,-70.635483,584.9,19.96K,9114488226,Cerro San Cristobal,Ride
-33.435448,-70.635476,584.8,19.96K,9114488226,Cerro San Cristobal,Ride
-33.435236,-70.635521,584.6,19.96K,9114488226,Cerro San Cristobal,Ride
-33.435068,-70.635557,584.6,19.96K,9114488226,Cerro San Cristobal,Ride
-33.435021,-70.635568,584.6,19.96K,9114488226,Cerro San Cristobal,Ride
-33.435023,-70.63557,584.6,19.96K,9114488226,Cerro San Cristobal,Ride
-33.434998,-70.635586,584.7,19.96K,9114488226,Cerro San Cristobal,Ride
-33.434976,-70.635591,584.7,19.96K,9114488226,Cerro San Cristobal,Ride
-33.434843,-70.635603,584.7,19.96K,9114488226,Cerro San Cristobal,Ride
-33.434491,-70.63562,585.0,19.96K,9114488226,Cerro San Cristobal,Ride
-33.434358,-70.635656,585.0,19.96K,9114488226,Cerro San Cristobal,Ride
-33.43422,-70.635684,585.1,19.96K,9114488226,Cerro San Cristobal,Ride
-33.434084,-70.635704,585.3,19.96K,9114488226,Cerro San Cristobal,Ride
-33.433996,-70.635717,585.3,19.96K,9114488226,Cerro San Cristobal,Ride
-33.433952,-70.635724,585.4,19.96K,9114488226,Cerro San Cristobal,Ride
-33.433861,-70.635746,585.4,19.96K,9114488226,Cerro San Cristobal,Ride
-33.433757,-70.635768,585.6,19.96K,9114488226,Cerro San Cristobal,Ride
-33.433701,-70.635765,585.6,19.96K,9114488226,Cerro San Cristobal,Ride
-33.433468,-70.635766,585.7,19.96K,9114488226,Cerro San Cristobal,Ride
-33.433407,-70.635753,585.7,19.96K,9114488226,Cerro San Cristobal,Ride
-33.433298,-70.635751,585.7,19.96K,9114488226,Cerro San Cristobal,Ride
-33.433195,-70.635807,585.7,19.96K,9114488226,Cerro San Cristobal,Ride
-33.432973,-70.635865,585.8,19.96K,9114488226,Cerro San Cristobal,Ride
-33.43271,-70.635926,586.0,19.96K,9114488226,Cerro San Cristobal,Ride
-33.432603,-70.635956,586.1,19.96K,9114488226,Cerro San Cristobal,Ride
-33.43222,-70.63602,586.4,19.96K,9114488226,Cerro San Cristobal,Ride
-33.432016,-70.636055,586.4,19.96K,9114488226,Cerro San Cristobal,Ride
-33.431761,-70.636102,586.4,19.96K,9114488226,Cerro San Cristobal,Ride
-33.431711,-70.63611,586.5,19.96K,9114488226,Cerro San Cristobal,Ride
-33.431283,-70.636186,586.7,19.96K,9114488226,Cerro San Cristobal,Ride
-33.431156,-70.636207,586.8,19.96K,9114488226,Cerro San Cristobal,Ride
-33.430971,-70.636222,587.0,19.96K,9114488226,Cerro San Cristobal,Ride
-33.430818,-70.636215,587.1,19.96K,9114488226,Cerro San Cristobal,Ride
-33.43064,-70.636183,587.5,19.96K,9114488226,Cerro San Cristobal,Ride
-33.430632,-70.636184,587.5,19.96K,9114488226,Cerro San Cristobal,Ride
-33.43063,-70.636181,587.5,19.96K,9114488226,Cerro San Cristobal,Ride
-33.430632,-70.636177,587.6,19.96K,9114488226,Cerro San Cristobal,Ride
-33.430632,-70.636177,587.6,19.96K,9114488226,Cerro San Cristobal,Ride
-33.430632,-70.636177,587.6,19.96K,9114488226,Cerro San Cristobal,Ride
-33.430632,-70.636177,587.6,19.96K,9114488226,Cerro San Cristobal,Ride
-33.430632,-70.636177,587.6,19.96K,9114488226,Cerro San Cristobal,Ride
-33.430632,-70.636177,587.6,19.96K,9114488226,Cerro San Cristobal,Ride
-33.430632,-70.636177,587.6,19.96K,9114488226,Cerro San Cristobal,Ride
-33.430632,-70.636177,587.6,19.96K,9114488226,Cerro San Cristobal,Ride
-33.430632,-70.636177,587.6,19.96K,9114488226,Cerro San Cristobal,Ride
-33.430632,-70.636177,587.6,19.96K,9114488226,Cerro San Cristobal,Ride
-33.430632,-70.636177,587.6,19.96K,9114488226,Cerro San Cristobal,Ride
-33.430636,-70.636176,587.6,19.96K,9114488226,Cerro San Cristobal,Ride
-33.430636,-70.636176,587.6,19.96K,9114488226,Cerro San Cristobal,Ride
-33.430636,-70.636176,587.6,19.96K,9114488226,Cerro San Cristobal,Ride
-33.430638,-70.636175,587.6,19.96K,9114488226,Cerro San Cristobal,Ride
