lat,long,altitude,distance,activity_id,activity_name,activity_type
-32.354351,-71.409126,106.9,6.74K,12173383513,Estero Huaquen Run,Run
-32.354407,-71.409132,106.8,6.74K,12173383513,Estero Huaquen Run,Run
-32.354407,-71.409132,106.8,6.74K,12173383513,Estero Huaquen Run,Run
-32.354407,-71.409132,106.8,6.74K,12173383513,Estero Huaquen Run,Run
-32.354407,-71.409132,106.8,6.74K,12173383513,Estero Huaquen Run,Run
-32.354407,-71.409132,106.8,6.74K,12173383513,Estero Huaquen Run,Run
-32.354407,-71.409132,106.8,6.74K,12173383513,Estero Huaquen Run,Run
-32.354407,-71.409132,106.8,6.74K,12173383513,Estero Huaquen Run,Run
-32.354407,-71.409132,106.8,6.74K,12173383513,Estero Huaquen Run,Run
-32.354407,-71.409132,106.8,6.74K,12173383513,Estero Huaquen Run,Run
-32.354407,-71.409132,106.8,6.74K,12173383513,Estero Huaquen Run,Run
-32.354407,-71.409132,106.8,6.74K,12173383513,Estero Huaquen Run,Run
-32.354407,-71.409132,106.8,6.74K,12173383513,Estero Huaquen Run,Run
-32.354407,-71.409132,106.8,6.74K,12173383513,Estero Huaquen Run,Run
-32.354407,-71.409132,106.8,6.74K,12173383513,Estero Huaquen Run,Run
-32.354407,-71.409132,106.8,6.74K,12173383513,Estero Huaquen Run,Run
-32.354407,-71.409132,106.8,6.74K,12173383513,Estero Huaquen Run,Run
-32.354407,-71.409132,106.8,6.74K,12173383513,Estero Huaquen Run,Run
-32.354407,-71.409132,106.8,6.74K,12173383513,Estero Huaquen Run,Run
-32.354407,-71.409132,106.8,6.74K,12173383513,Estero Huaquen Run,Run
-32.354407,-71.409132,106.8,6.74K,12173383513,Estero Huaquen Run,Run
-32.354407,-71.409132,106.8,6.74K,12173383513,Estero Huaquen Run,Run
-32.354351,-71.409126,106.7,6.74K,12173383513,Estero Huaquen Run,Run
-32.354322,-71.409134,106.7,6.74K,12173383513,Estero Huaquen Run,Run
-32.354304,-71.409144,106.6,6.74K,12173383513,Estero Huaquen Run,Run
-32.354287,-71.409154,106.6,6.74K,12173383513,Estero Huaquen Run,Run
-32.354265,-71.409162,106.6,6.74K,12173383513,Estero Huaquen Run,Run
-32.354243,-71.409174,106.5,6.74K,12173383513,Estero Huaquen Run,Run
-32.354219,-71.409178,106.5,6.74K,12173383513,Estero Huaquen Run,Run
-32.3542,-71.40918,106.4,6.74K,12173383513,Estero Huaquen Run,Run
-32.354181,-71.409186,106.4,6.74K,12173383513,Estero Huaquen Run,Run
-32.354164,-71.409193,106.4,6.74K,12173383513,Estero Huaquen Run,Run
-32.354144,-71.409225,106.3,6.74K,12173383513,Estero Huaquen Run,Run
-32.354118,-71.409226,106.3,6.74K,12173383513,Estero Huaquen Run,Run
-32.354097,-71.409225,106.2,6.74K,12173383513,Estero Huaquen Run,Run
-32.354078,-71.409236,106.2,6.74K,12173383513,Estero Huaquen Run,Run
-32.35405,-71.409234,106.2,6.74K,12173383513,Estero Huaquen Run,Run
-32.354029,-71.409229,106.1,6.74K,12173383513,Estero Huaquen Run,Run
-32.354013,-71.409228,106.1,6.74K,12173383513,Estero Huaquen Run,Run
-32.353998,-71.40924,106.1,6.74K,12173383513,Estero Huaquen Run,Run
-32.353978,-71.409243,106.0,6.74K,12173383513,Estero Huaquen Run,Run
-32.353957,-71.409251,106.0,6.74K,12173383513,Estero Huaquen Run,Run
-32.353947,-71.409259,106.0,6.74K,12173383513,Estero Huaquen Run,Run
-32.353924,-71.409262,105.9,6.74K,12173383513,Estero Huaquen Run,Run
-32.353904,-71.409263,105.9,6.74K,12173383513,Estero Huaquen Run,Run
-32.353888,-71.40927,105.9,6.74K,12173383513,Estero Huaquen Run,Run
-32.35387,-71.409272,105.8,6.74K,12173383513,Estero Huaquen Run,Run
-32.353855,-71.409277,105.8,6.74K,12173383513,Estero Huaquen Run,Run
-32.353831,-71.409298,105.7,6.74K,12173383513,Estero Huaquen Run,Run
-32.353812,-71.409302,105.7,6.74K,12173383513,Estero Huaquen Run,Run
-32.35379,-71.409302,105.7,6.74K,12173383513,Estero Huaquen Run,Run
-32.353764,-71.409306,105.6,6.74K,12173383513,Estero Huaquen Run,Run
-32.35374,-71.409311,105.6,6.74K,12173383513,Estero Huaquen Run,Run
-32.353717,-71.409316,105.5,6.74K,12173383513,Estero Huaquen Run,Run
-32.353695,-71.409322,105.5,6.74K,12173383513,Estero Huaquen Run,Run
-32.353671,-71.409333,105.4,6.74K,12173383513,Estero Huaquen Run,Run
-32.353648,-71.409338,105.4,6.74K,12173383513,Estero Huaquen Run,Run
-32.353625,-71.409347,105.4,6.74K,12173383513,Estero Huaquen Run,Run
-32.353606,-71.409352,105.3,6.74K,12173383513,Estero Huaquen Run,Run
-32.353584,-71.409356,105.3,6.74K,12173383513,Estero Huaquen Run,Run
-32.353561,-71.409358,105.3,6.74K,12173383513,Estero Huaquen Run,Run
