lat,long,altitude,activity_id,activity_name,activity_type
-33.444615,-70.653261,561.1,11128460220,Gobierno Santiago Running - 5k,Run
-33.444615,-70.653261,561.1,11128460220,Gobierno Santiago Running - 5k,Run
-33.444615,-70.653261,561.1,11128460220,Gobierno Santiago Running - 5k,Run
-33.444615,-70.653261,561.1,11128460220,Gobierno Santiago Running - 5k,Run
-33.444615,-70.653261,561.1,11128460220,Gobierno Santiago Running - 5k,Run
-33.444615,-70.653261,561.1,11128460220,Gobierno Santiago Running - 5k,Run
-33.444637,-70.653263,561.1,11128460220,Gobierno Santiago Running - 5k,Run
-33.444636,-70.653238,561.1,11128460220,Gobierno Santiago Running - 5k,Run
-33.444668,-70.653254,561.2,11128460220,Gobierno Santiago Running - 5k,Run
-33.44461,-70.65325,561.2,11128460220,Gobierno Santiago Running - 5k,Run
-33.444582,-70.653223,561.3,11128460220,Gobierno Santiago Running - 5k,Run
-33.444515,-70.653088,561.4,11128460220,Gobierno Santiago Running - 5k,Run
-33.444495,-70.652969,561.6,11128460220,Gobierno Santiago Running - 5k,Run
-33.444492,-70.652946,561.6,11128460220,Gobierno Santiago Running - 5k,Run
-33.444487,-70.652924,561.6,11128460220,Gobierno Santiago Running - 5k,Run
-33.444451,-70.652803,561.7,11128460220,Gobierno Santiago Running - 5k,Run
-33.444451,-70.65278,561.7,11128460220,Gobierno Santiago Running - 5k,Run
-33.444426,-70.652671,561.8,11128460220,Gobierno Santiago Running - 5k,Run
-33.444418,-70.652649,561.8,11128460220,Gobierno Santiago Running - 5k,Run
-33.444379,-70.652571,561.8,11128460220,Gobierno Santiago Running - 5k,Run
-33.444372,-70.652544,561.8,11128460220,Gobierno Santiago Running - 5k,Run
-33.44433,-70.652462,561.9,11128460220,Gobierno Santiago Running - 5k,Run
-33.44431,-70.652422,561.9,11128460220,Gobierno Santiago Running - 5k,Run
-33.444271,-70.652311,562.0,11128460220,Gobierno Santiago Running - 5k,Run
-33.444271,-70.652065,562.2,11128460220,Gobierno Santiago Running - 5k,Run
-33.444229,-70.651859,562.4,11128460220,Gobierno Santiago Running - 5k,Run
-33.444183,-70.651682,562.6,11128460220,Gobierno Santiago Running - 5k,Run
