lat,long,altitude,distance,activity_id,activity_name,activity_type
-33.496612,-70.700108,516.0,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.496558,-70.70015,515.9,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.496519,-70.700134,515.9,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.496505,-70.700113,515.9,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.496489,-70.700092,515.9,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.496423,-70.699961,515.8,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.49635,-70.699897,515.8,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.496334,-70.699876,515.7,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.496197,-70.699741,515.6,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.496179,-70.699724,515.6,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.496125,-70.699673,515.6,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.496026,-70.699592,515.6,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.495975,-70.699536,515.5,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.495957,-70.699519,515.5,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.495893,-70.699467,515.5,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.495858,-70.699445,515.4,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.495801,-70.699405,515.4,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.49568,-70.69932,515.3,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.495589,-70.699239,515.2,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.495491,-70.699174,515.2,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.495421,-70.699106,515.1,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.495319,-70.69902,515.1,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.495262,-70.698962,515.1,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.49513,-70.698847,515.1,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.495058,-70.698793,515.1,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.495,-70.698724,515.1,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.494979,-70.698696,515.1,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.494829,-70.69859,515.1,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.494717,-70.698471,515.1,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.494635,-70.698407,515.1,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.4945,-70.698293,515.0,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.494463,-70.698263,515.0,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.49439,-70.698197,515.0,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.494372,-70.698185,515.0,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.494257,-70.698082,515.0,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.494223,-70.698054,515.0,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.494091,-70.697932,515.0,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.493927,-70.697806,515.0,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.493906,-70.697791,515.0,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.493744,-70.69766,515.1,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.493728,-70.697646,515.1,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.493581,-70.697502,515.1,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.493532,-70.69745,515.0,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.493374,-70.697295,515.1,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.493341,-70.697266,515.1,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.493229,-70.697169,515.1,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.493213,-70.697156,515.1,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.493064,-70.697022,515.1,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.493004,-70.696994,515.1,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.492853,-70.696852,515.2,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.492817,-70.696816,515.2,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.492767,-70.696777,515.2,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.492629,-70.696659,515.2,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.492469,-70.69652,515.3,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.492314,-70.696384,515.3,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.49228,-70.696359,515.3,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.492133,-70.696214,515.3,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.492082,-70.696171,515.3,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.491967,-70.696079,515.3,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.491932,-70.696058,515.3,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.491862,-70.695989,515.3,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.491705,-70.695844,515.3,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.491652,-70.695789,515.3,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.491503,-70.695668,515.3,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.491346,-70.695554,515.3,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.491328,-70.695534,515.3,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.491234,-70.69545,515.3,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.491178,-70.6954,515.3,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.491069,-70.6953,515.3,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.491055,-70.695284,515.3,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.490965,-70.695196,515.3,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.490929,-70.695163,515.3,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.490893,-70.695144,515.4,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.490821,-70.695083,515.4,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.49073,-70.695009,515.4,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.490711,-70.694995,515.4,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.490662,-70.694961,515.4,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.490546,-70.694871,515.4,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.490403,-70.694733,515.4,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.490348,-70.69468,515.4,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.490256,-70.694593,515.4,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.490238,-70.694575,515.4,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.490089,-70.694443,515.4,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.489997,-70.694342,515.4,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.489836,-70.694196,515.4,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.489773,-70.694142,515.3,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.48969,-70.694065,515.3,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.489592,-70.693992,515.2,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.489559,-70.693971,515.2,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.489402,-70.693832,515.2,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.489364,-70.69381,515.2,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.48927,-70.69376,515.2,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.489236,-70.693733,515.2,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.489183,-70.693666,515.3,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.489061,-70.693604,515.3,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.488949,-70.693539,515.3,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.488915,-70.693521,515.3,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.488898,-70.693514,515.3,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.488851,-70.693517,515.3,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.488817,-70.693543,515.4,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.488701,-70.693665,515.2,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.488624,-70.693801,514.9,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.488595,-70.693843,514.8,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.488506,-70.694055,514.4,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.488522,-70.694177,514.4,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.48859,-70.69432,514.7,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.488638,-70.694379,514.9,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.488784,-70.694502,515.5,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.48895,-70.694593,515.7,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.489105,-70.694716,515.8,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.48926,-70.694847,516.0,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.48938,-70.695019,516.0,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.489377,-70.695135,516.0,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.489374,-70.695159,515.9,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.489365,-70.695292,515.9,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.489357,-70.695507,515.7,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.489357,-70.695595,515.7,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.489355,-70.695835,515.5,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.489355,-70.695861,515.5,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.489351,-70.695884,515.5,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.489351,-70.696064,515.3,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.489359,-70.696293,515.1,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.48936,-70.696321,515.0,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.489361,-70.696404,515.0,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.489359,-70.696433,514.9,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.489359,-70.696574,514.8,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.489375,-70.696791,514.7,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.489385,-70.696829,514.6,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.489403,-70.696864,514.6,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.489529,-70.696968,514.6,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.489697,-70.697099,514.8,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.489737,-70.697132,514.8,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.489911,-70.697236,514.7,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.490061,-70.697356,514.7,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.490101,-70.697388,514.8,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.490227,-70.69741,514.8,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.490417,-70.697423,515.0,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.490594,-70.697436,515.2,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.490653,-70.697432,515.2,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.490805,-70.69744,515.1,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.490988,-70.697423,515.3,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.491074,-70.697418,515.5,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.491139,-70.697408,515.6,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.491291,-70.697393,515.7,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.49148,-70.697397,515.7,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
-33.491665,-70.697432,515.6,10.67K,11502989458,Half Marathon Cerrillos - 10k,Run
