lat,long,altitude,activity_id,activity_name,activity_type
-33.394569,-70.604134,672.4,10274884115,Pasarela San Cristóbal,Walk
-33.394569,-70.604134,672.4,10274884115,Pasarela San Cristóbal,Walk
-33.394569,-70.604134,672.4,10274884115,Pasarela San Cristóbal,Walk
-33.394569,-70.604134,672.4,10274884115,Pasarela San Cristóbal,Walk
-33.39472,-70.604265,672.1,10274884115,Pasarela San Cristóbal,Walk
-33.394753,-70.604291,672.1,10274884115,Pasarela San Cristóbal,Walk
-33.394793,-70.604382,672.0,10274884115,Pasarela San Cristóbal,Walk
-33.394922,-70.604513,671.7,10274884115,Pasarela San Cristóbal,Walk
-33.394995,-70.604584,671.5,10274884115,Pasarela San Cristóbal,Walk
-33.395076,-70.604663,671.2,10274884115,Pasarela San Cristóbal,Walk
-33.395183,-70.604738,670.9,10274884115,Pasarela San Cristóbal,Walk
-33.395223,-70.604766,670.8,10274884115,Pasarela San Cristóbal,Walk
-33.39527,-70.604804,670.7,10274884115,Pasarela San Cristóbal,Walk
-33.395334,-70.604854,670.5,10274884115,Pasarela San Cristóbal,Walk
-33.395394,-70.604813,670.5,10274884115,Pasarela San Cristóbal,Walk
-33.395349,-70.604838,670.4,10274884115,Pasarela San Cristóbal,Walk
-33.39546,-70.604974,670.5,10274884115,Pasarela San Cristóbal,Walk
-33.395489,-70.604987,670.6,10274884115,Pasarela San Cristóbal,Walk
-33.395512,-70.604999,670.7,10274884115,Pasarela San Cristóbal,Walk
-33.395568,-70.605036,670.9,10274884115,Pasarela San Cristóbal,Walk
-33.395653,-70.605118,671.6,10274884115,Pasarela San Cristóbal,Walk
-33.395702,-70.605182,672.1,10274884115,Pasarela San Cristóbal,Walk
-33.395758,-70.605247,672.5,10274884115,Pasarela San Cristóbal,Walk
-33.395765,-70.605257,672.6,10274884115,Pasarela San Cristóbal,Walk
-33.395771,-70.60527,672.7,10274884115,Pasarela San Cristóbal,Walk
-33.395824,-70.605348,673.0,10274884115,Pasarela San Cristóbal,Walk
-33.395844,-70.605364,673.1,10274884115,Pasarela San Cristóbal,Walk
-33.395854,-70.60538,673.2,10274884115,Pasarela San Cristóbal,Walk
-33.39586,-70.605389,673.2,10274884115,Pasarela San Cristóbal,Walk
-33.395895,-70.605429,673.3,10274884115,Pasarela San Cristóbal,Walk
-33.395993,-70.605483,673.4,10274884115,Pasarela San Cristóbal,Walk
-33.396128,-70.605536,673.7,10274884115,Pasarela San Cristóbal,Walk
-33.396237,-70.605639,674.3,10274884115,Pasarela San Cristóbal,Walk
-33.396288,-70.605692,674.7,10274884115,Pasarela San Cristóbal,Walk
-33.396334,-70.605721,675.0,10274884115,Pasarela San Cristóbal,Walk
-33.396348,-70.605727,675.0,10274884115,Pasarela San Cristóbal,Walk
-33.39637,-70.605745,675.2,10274884115,Pasarela San Cristóbal,Walk
-33.396414,-70.605756,675.4,10274884115,Pasarela San Cristóbal,Walk
-33.396447,-70.605763,675.6,10274884115,Pasarela San Cristóbal,Walk
-33.396563,-70.6058,676.1,10274884115,Pasarela San Cristóbal,Walk
-33.396608,-70.605812,676.3,10274884115,Pasarela San Cristóbal,Walk
-33.396644,-70.605817,676.4,10274884115,Pasarela San Cristóbal,Walk
-33.396734,-70.605842,676.7,10274884115,Pasarela San Cristóbal,Walk
-33.396809,-70.605945,677.0,10274884115,Pasarela San Cristóbal,Walk
-33.396851,-70.606018,677.3,10274884115,Pasarela San Cristóbal,Walk
-33.396883,-70.606056,677.5,10274884115,Pasarela San Cristóbal,Walk
-33.396917,-70.606092,677.7,10274884115,Pasarela San Cristóbal,Walk
-33.396952,-70.606119,678.0,10274884115,Pasarela San Cristóbal,Walk
-33.396999,-70.60615,678.3,10274884115,Pasarela San Cristóbal,Walk
-33.397093,-70.606167,678.8,10274884115,Pasarela San Cristóbal,Walk
-33.397102,-70.60616,678.9,10274884115,Pasarela San Cristóbal,Walk
-33.397228,-70.606086,679.5,10274884115,Pasarela San Cristóbal,Walk
-33.397285,-70.606042,679.7,10274884115,Pasarela San Cristóbal,Walk
-33.397314,-70.606024,679.8,10274884115,Pasarela San Cristóbal,Walk
-33.39742,-70.605992,680.0,10274884115,Pasarela San Cristóbal,Walk
-33.397503,-70.605944,680.3,10274884115,Pasarela San Cristóbal,Walk
-33.397569,-70.605841,680.8,10274884115,Pasarela San Cristóbal,Walk
-33.397621,-70.605684,681.3,10274884115,Pasarela San Cristóbal,Walk
-33.397641,-70.605624,681.4,10274884115,Pasarela San Cristóbal,Walk
-33.39766,-70.605541,681.5,10274884115,Pasarela San Cristóbal,Walk
-33.397709,-70.605472,681.5,10274884115,Pasarela San Cristóbal,Walk
-33.397726,-70.605459,681.5,10274884115,Pasarela San Cristóbal,Walk
-33.397815,-70.605379,681.6,10274884115,Pasarela San Cristóbal,Walk
-33.397903,-70.605248,682.0,10274884115,Pasarela San Cristóbal,Walk
-33.397989,-70.605156,682.2,10274884115,Pasarela San Cristóbal,Walk
-33.398122,-70.605087,681.9,10274884115,Pasarela San Cristóbal,Walk
-33.398158,-70.60508,681.8,10274884115,Pasarela San Cristóbal,Walk
-33.398222,-70.605054,681.5,10274884115,Pasarela San Cristóbal,Walk
-33.398317,-70.605061,681.1,10274884115,Pasarela San Cristóbal,Walk
-33.398423,-70.605095,681.0,10274884115,Pasarela San Cristóbal,Walk
-33.398517,-70.605107,680.9,10274884115,Pasarela San Cristóbal,Walk
-33.398543,-70.605097,680.9,10274884115,Pasarela San Cristóbal,Walk
-33.398567,-70.605096,680.9,10274884115,Pasarela San Cristóbal,Walk
-33.398586,-70.6051,680.9,10274884115,Pasarela San Cristóbal,Walk
-33.398598,-70.605109,680.9,10274884115,Pasarela San Cristóbal,Walk
-33.39862,-70.605125,681.0,10274884115,Pasarela San Cristóbal,Walk
-33.398717,-70.605199,681.1,10274884115,Pasarela San Cristóbal,Walk
-33.398848,-70.605332,681.5,10274884115,Pasarela San Cristóbal,Walk
-33.398896,-70.605391,681.6,10274884115,Pasarela San Cristóbal,Walk
-33.398908,-70.605415,681.7,10274884115,Pasarela San Cristóbal,Walk
-33.398935,-70.605469,681.7,10274884115,Pasarela San Cristóbal,Walk
-33.398992,-70.605546,681.7,10274884115,Pasarela San Cristóbal,Walk
-33.399011,-70.605568,681.6,10274884115,Pasarela San Cristóbal,Walk
-33.39902,-70.605579,681.6,10274884115,Pasarela San Cristóbal,Walk
-33.399092,-70.605639,681.3,10274884115,Pasarela San Cristóbal,Walk
-33.399103,-70.605643,681.2,10274884115,Pasarela San Cristóbal,Walk
-33.399175,-70.605655,680.8,10274884115,Pasarela San Cristóbal,Walk
-33.399293,-70.605684,680.1,10274884115,Pasarela San Cristóbal,Walk
-33.399352,-70.605704,679.7,10274884115,Pasarela San Cristóbal,Walk
-33.399402,-70.60572,679.5,10274884115,Pasarela San Cristóbal,Walk
-33.399451,-70.605732,679.2,10274884115,Pasarela San Cristóbal,Walk
-33.399595,-70.605822,678.3,10274884115,Pasarela San Cristóbal,Walk
-33.399669,-70.605872,678.0,10274884115,Pasarela San Cristóbal,Walk
-33.399672,-70.605873,678.0,10274884115,Pasarela San Cristóbal,Walk
-33.399687,-70.605883,677.9,10274884115,Pasarela San Cristóbal,Walk
-33.399697,-70.605891,677.9,10274884115,Pasarela San Cristóbal,Walk
-33.399764,-70.605917,677.6,10274884115,Pasarela San Cristóbal,Walk
-33.399839,-70.605946,677.4,10274884115,Pasarela San Cristóbal,Walk
-33.399888,-70.605967,677.2,10274884115,Pasarela San Cristóbal,Walk
-33.39991,-70.605964,677.2,10274884115,Pasarela San Cristóbal,Walk
-33.399919,-70.605968,677.2,10274884115,Pasarela San Cristóbal,Walk
