lat,long,altitude,distance,activity_id,activity_name,activity_type
-33.490464,-70.543176,704.9,7.86K,11831928755,Peñalolén Run,Run
-33.490448,-70.543178,704.9,7.86K,11831928755,Peñalolén Run,Run
-33.490439,-70.543178,704.9,7.86K,11831928755,Peñalolén Run,Run
-33.490446,-70.543244,704.8,7.86K,11831928755,Peñalolén Run,Run
-33.49045,-70.543301,704.8,7.86K,11831928755,Peñalolén Run,Run
-33.49044,-70.543366,704.8,7.86K,11831928755,Peñalolén Run,Run
-33.490432,-70.543401,704.8,7.86K,11831928755,Peñalolén Run,Run
-33.490426,-70.543435,704.8,7.86K,11831928755,Peñalolén Run,Run
-33.490408,-70.543501,704.8,7.86K,11831928755,Peñalolén Run,Run
-33.490391,-70.543572,704.8,7.86K,11831928755,Peñalolén Run,Run
-33.490357,-70.54368,704.8,7.86K,11831928755,Peñalolén Run,Run
-33.49034,-70.54375,704.8,7.86K,11831928755,Peñalolén Run,Run
-33.490353,-70.543817,704.8,7.86K,11831928755,Peñalolén Run,Run
-33.490389,-70.543861,704.8,7.86K,11831928755,Peñalolén Run,Run
-33.490497,-70.54391,704.8,7.86K,11831928755,Peñalolén Run,Run
-33.490524,-70.543918,704.8,7.86K,11831928755,Peñalolén Run,Run
-33.490601,-70.543939,704.8,7.86K,11831928755,Peñalolén Run,Run
-33.490639,-70.543921,705.1,7.86K,11831928755,Peñalolén Run,Run
-33.490651,-70.543895,705.2,7.86K,11831928755,Peñalolén Run,Run
-33.490681,-70.543733,706.1,7.86K,11831928755,Peñalolén Run,Run
-33.490732,-70.543503,707.3,7.86K,11831928755,Peñalolén Run,Run
-33.490754,-70.543415,707.8,7.86K,11831928755,Peñalolén Run,Run
-33.490816,-70.543208,709.0,7.86K,11831928755,Peñalolén Run,Run
-33.490855,-70.543092,709.8,7.86K,11831928755,Peñalolén Run,Run
-33.490925,-70.542895,711.0,7.86K,11831928755,Peñalolén Run,Run
-33.49098,-70.542692,712.3,7.86K,11831928755,Peñalolén Run,Run
-33.490995,-70.542635,712.7,7.86K,11831928755,Peñalolén Run,Run
-33.491057,-70.542461,714.0,7.86K,11831928755,Peñalolén Run,Run
-33.491117,-70.542296,715.2,7.86K,11831928755,Peñalolén Run,Run
-33.491126,-70.542269,715.4,7.86K,11831928755,Peñalolén Run,Run
