lat,long,altitude,distance,activity_id,activity_name,activity_type
-33.451598,-70.619788,572.0,13.94K,13704875504,San Cristóbal Virgen,Ride
-33.451558,-70.6198,572.0,13.94K,13704875504,San Cristóbal Virgen,Ride
-33.451516,-70.619813,572.0,13.94K,13704875504,San Cristóbal Virgen,Ride
-33.451472,-70.619827,572.2,13.94K,13704875504,San Cristóbal Virgen,Ride
-33.451428,-70.619842,572.2,13.94K,13704875504,San Cristóbal Virgen,Ride
-33.451383,-70.619857,572.2,13.94K,13704875504,San Cristóbal Virgen,Ride
-33.451337,-70.619872,572.2,13.94K,13704875504,San Cristóbal Virgen,Ride
-33.45129,-70.619886,572.2,13.94K,13704875504,San Cristóbal Virgen,Ride
-33.451243,-70.619899,572.4,13.94K,13704875504,San Cristóbal Virgen,Ride
-33.451196,-70.619912,572.4,13.94K,13704875504,San Cristóbal Virgen,Ride
-33.451148,-70.619924,572.4,13.94K,13704875504,San Cristóbal Virgen,Ride
-33.451099,-70.619937,572.4,13.94K,13704875504,San Cristóbal Virgen,Ride
-33.451051,-70.61995,572.6,13.94K,13704875504,San Cristóbal Virgen,Ride
-33.451004,-70.619962,572.6,13.94K,13704875504,San Cristóbal Virgen,Ride
-33.450956,-70.619975,572.6,13.94K,13704875504,San Cristóbal Virgen,Ride
-33.450908,-70.619987,572.6,13.94K,13704875504,San Cristóbal Virgen,Ride
-33.45086,-70.62,572.6,13.94K,13704875504,San Cristóbal Virgen,Ride
-33.450812,-70.620013,572.8,13.94K,13704875504,San Cristóbal Virgen,Ride
-33.450764,-70.620026,572.8,13.94K,13704875504,San Cristóbal Virgen,Ride
-33.450716,-70.62004,572.8,13.94K,13704875504,San Cristóbal Virgen,Ride
-33.450668,-70.620052,572.8,13.94K,13704875504,San Cristóbal Virgen,Ride
-33.45062,-70.620064,572.8,13.94K,13704875504,San Cristóbal Virgen,Ride
-33.450571,-70.620076,573.0,13.94K,13704875504,San Cristóbal Virgen,Ride
-33.450524,-70.620088,573.0,13.94K,13704875504,San Cristóbal Virgen,Ride
-33.450477,-70.620099,573.0,13.94K,13704875504,San Cristóbal Virgen,Ride
-33.45043,-70.620111,573.0,13.94K,13704875504,San Cristóbal Virgen,Ride
-33.450382,-70.620121,573.0,13.94K,13704875504,San Cristóbal Virgen,Ride
-33.450334,-70.62013,573.2,13.94K,13704875504,San Cristóbal Virgen,Ride
-33.450288,-70.62014,573.2,13.94K,13704875504,San Cristóbal Virgen,Ride
-33.450242,-70.620151,573.2,13.94K,13704875504,San Cristóbal Virgen,Ride
-33.450196,-70.620163,573.2,13.94K,13704875504,San Cristóbal Virgen,Ride
-33.450151,-70.620175,573.2,13.94K,13704875504,San Cristóbal Virgen,Ride
-33.450108,-70.620188,573.4,13.94K,13704875504,San Cristóbal Virgen,Ride
-33.450066,-70.620201,573.4,13.94K,13704875504,San Cristóbal Virgen,Ride
-33.450025,-70.620213,573.4,13.94K,13704875504,San Cristóbal Virgen,Ride
