lat,long,altitude,distance,activity_id,activity_name,activity_type
-33.588867,-70.59347,668.9,33.62K,7464278787,Vizcachas Completa,Ride
-33.588868,-70.593463,668.9,33.62K,7464278787,Vizcachas Completa,Ride
-33.588868,-70.593456,668.9,33.62K,7464278787,Vizcachas Completa,Ride
-33.588869,-70.593449,668.9,33.62K,7464278787,Vizcachas Completa,Ride
-33.588869,-70.593442,668.9,33.62K,7464278787,Vizcachas Completa,Ride
-33.58887,-70.593435,668.9,33.62K,7464278787,Vizcachas Completa,Ride
-33.588871,-70.593428,668.9,33.62K,7464278787,Vizcachas Completa,Ride
-33.588871,-70.593421,668.9,33.62K,7464278787,Vizcachas Completa,Ride
-33.58886,-70.593362,668.9,33.62K,7464278787,Vizcachas Completa,Ride
-33.588798,-70.593289,669.1,33.62K,7464278787,Vizcachas Completa,Ride
-33.588788,-70.593242,669.1,33.62K,7464278787,Vizcachas Completa,Ride
-33.588787,-70.592965,669.1,33.62K,7464278787,Vizcachas Completa,Ride
-33.588761,-70.592635,669.2,33.62K,7464278787,Vizcachas Completa,Ride
-33.588735,-70.592339,669.5,33.62K,7464278787,Vizcachas Completa,Ride
-33.588739,-70.592282,669.6,33.62K,7464278787,Vizcachas Completa,Ride
-33.588739,-70.592224,669.8,33.62K,7464278787,Vizcachas Completa,Ride
-33.588729,-70.591997,670.1,33.62K,7464278787,Vizcachas Completa,Ride
-33.588699,-70.591702,670.9,33.62K,7464278787,Vizcachas Completa,Ride
-33.588696,-70.59165,671.0,33.62K,7464278787,Vizcachas Completa,Ride
-33.588692,-70.59148,671.3,33.62K,7464278787,Vizcachas Completa,Ride
-33.588656,-70.591157,672.0,33.62K,7464278787,Vizcachas Completa,Ride
-33.588647,-70.5911,672.1,33.62K,7464278787,Vizcachas Completa,Ride
-33.588615,-70.590823,672.1,33.62K,7464278787,Vizcachas Completa,Ride
-33.588573,-70.590468,672.5,33.62K,7464278787,Vizcachas Completa,Ride
-33.588552,-70.590297,672.7,33.62K,7464278787,Vizcachas Completa,Ride
-33.588481,-70.589772,672.1,33.62K,7464278787,Vizcachas Completa,Ride
-33.588461,-70.589617,672.1,33.62K,7464278787,Vizcachas Completa,Ride
-33.588368,-70.589092,672.0,33.62K,7464278787,Vizcachas Completa,Ride
-33.588293,-70.588442,673.8,33.62K,7464278787,Vizcachas Completa,Ride
-33.588286,-70.588386,674.0,33.62K,7464278787,Vizcachas Completa,Ride
-33.588257,-70.588173,674.3,33.62K,7464278787,Vizcachas Completa,Ride
-33.58824,-70.588055,674.5,33.62K,7464278787,Vizcachas Completa,Ride
-33.588208,-70.587767,674.5,33.62K,7464278787,Vizcachas Completa,Ride
-33.588203,-70.587726,674.4,33.62K,7464278787,Vizcachas Completa,Ride
-33.588177,-70.587541,674.2,33.62K,7464278787,Vizcachas Completa,Ride
-33.588152,-70.587368,674.1,33.62K,7464278787,Vizcachas Completa,Ride
-33.588121,-70.586975,674.1,33.62K,7464278787,Vizcachas Completa,Ride
-33.588119,-70.586924,674.2,33.62K,7464278787,Vizcachas Completa,Ride
-33.588098,-70.586635,675.0,33.62K,7464278787,Vizcachas Completa,Ride
