lat,long,altitude,activity_id,activity_name,activity_type
-33.588874,-70.593532,668.9,7298296939,Vizcachas-pirque,Ride
-33.588874,-70.593532,668.9,7298296939,Vizcachas-pirque,Ride
-33.588874,-70.593532,668.9,7298296939,Vizcachas-pirque,Ride
-33.588874,-70.593532,668.9,7298296939,Vizcachas-pirque,Ride
-33.588874,-70.593532,668.9,7298296939,Vizcachas-pirque,Ride
-33.588874,-70.593532,668.9,7298296939,Vizcachas-pirque,Ride
-33.588884,-70.593521,668.9,7298296939,Vizcachas-pirque,Ride
-33.58889,-70.593449,668.9,7298296939,Vizcachas-pirque,Ride
-33.588892,-70.593421,668.9,7298296939,Vizcachas-pirque,Ride
-33.58888,-70.593193,669.1,7298296939,Vizcachas-pirque,Ride
-33.588848,-70.592956,669.1,7298296939,Vizcachas-pirque,Ride
-33.588826,-70.592746,669.2,7298296939,Vizcachas-pirque,Ride
-33.588815,-70.592621,669.2,7298296939,Vizcachas-pirque,Ride
-33.588821,-70.592483,669.3,7298296939,Vizcachas-pirque,Ride
-33.588825,-70.592396,669.4,7298296939,Vizcachas-pirque,Ride
-33.588798,-70.591954,670.2,7298296939,Vizcachas-pirque,Ride
-33.588795,-70.591898,670.3,7298296939,Vizcachas-pirque,Ride
-33.58879,-70.591792,670.6,7298296939,Vizcachas-pirque,Ride
-33.588775,-70.591687,670.9,7298296939,Vizcachas-pirque,Ride
-33.588771,-70.591637,671.0,7298296939,Vizcachas-pirque,Ride
-33.588786,-70.591518,671.2,7298296939,Vizcachas-pirque,Ride
-33.588804,-70.59137,671.2,7298296939,Vizcachas-pirque,Ride
-33.588826,-70.591357,671.2,7298296939,Vizcachas-pirque,Ride
-33.589017,-70.591318,671.1,7298296939,Vizcachas-pirque,Ride
-33.589256,-70.591272,671.0,7298296939,Vizcachas-pirque,Ride
-33.589491,-70.591244,671.0,7298296939,Vizcachas-pirque,Ride
-33.589874,-70.591176,671.3,7298296939,Vizcachas-pirque,Ride
-33.590086,-70.591138,671.5,7298296939,Vizcachas-pirque,Ride
-33.590169,-70.591129,671.6,7298296939,Vizcachas-pirque,Ride
-33.590208,-70.591126,671.6,7298296939,Vizcachas-pirque,Ride
-33.590318,-70.591112,671.7,7298296939,Vizcachas-pirque,Ride
-33.590351,-70.5911,671.7,7298296939,Vizcachas-pirque,Ride
-33.590502,-70.591064,671.9,7298296939,Vizcachas-pirque,Ride
-33.590878,-70.590991,672.8,7298296939,Vizcachas-pirque,Ride
-33.591184,-70.590928,673.4,7298296939,Vizcachas-pirque,Ride
-33.591259,-70.590898,673.5,7298296939,Vizcachas-pirque,Ride
